Location Title,Latitude {N+/S-},Longitude {E+/W-},TimeZone {+/- GMT},Elevation {m}
LOCATION_Bogota/Eldorado_-_-_TMY2-80222_,4.05,-74.15,-5.0,2548.0
Number of Design Conditions,Title of Design Condition,
0
Number of Typical/Extreme Periods,Period Name,Period Type,Period Start Day,Period End Day,<repeat to # periods>
6,Summer - Week Nearest Max Temperature For Period,Extreme,4/ 5,4/11,Summer - Week Nearest Average Temperature For Period,Typical,4/12,4/18,Winter - Week Nearest Min Temperature For Period,Extreme,9/ 8,9/14,Winter - Week Nearest Average Temperature For Period,Typical,10/20,10/26,Autumn - Week Nearest Average Temperature For Period,Typical,8/10,8/16,Spring - Week Nearest Average Temperature For Period,Typical,12/ 1,12/ 7
Number of Ground Temperature Depths,Ground Temperature Depth {m},Soil Conductivity {W/m-K},Soil Density {kg/m3},Soil Specific Heat {J/kg-K},Jan {C},Feb{C},Mar {C},Apr {C},May {C},Jun {C},Jul {C},Aug {C},Sep {C},Oct {C},Nov {C},Dec {C},<repeat to Number of temperature depths>
3,.5,,,,12.89,12.85,12.91,13.02,13.28,13.49,13.63,13.67,13.60,13.44,13.23,13.03,2,,,,13.02,12.96,12.97,13.02,13.20,13.36,13.49,13.56,13.55,13.46,13.31,13.15,4,,,,13.13,13.07,13.05,13.07,13.17,13.28,13.38,13.45,13.47,13.43,13.34,13.24
Leap Year Observed?,Daylight Saving Start Date,Daylight Saving End Date,Number of Holidays,Holiday Name,Holiday Date,<repeat for # Holidays>
No,0,0,0
Comment Line #1
TMY2-80222 -- WMO#
Comment Line #2
 -- Ground temps produced with a standard soil diffusivity of 2.3225760E-03 {m**2/day}
Number of Data Periods [DP],Number of Intervals per Hour,DP Name/Description,DP Start Day of Week,DP Start Day, DP End Day,<repeat to # Data Periods>
1,1,Data,Sunday, 1/ 1,12/31
Date,HH:MM,Datasource,DryBulb {C},DewPoint {C},RelHum {%},Atmos Pressure {Pa},ExtHorzRad {Wh/m2},ExtDirRad {Wh/m2},HorzIRSky {Wh/m2},GloHorzRad {Wh/m2},DirNormRad {Wh/m2},DifHorzRad {Wh/m2},GloHorzIllum {lux},DirNormIllum {lux},DifHorzIllum {lux},ZenLum {Cd/m2},WindDir {deg},WindSpd {m/s},TotSkyCvr {.1},OpaqSkyCvr {.1},Visibility {km},Ceiling Hgt {m},PresWeathObs,PresWeathCodes,Precip Wtr {mm},Aerosol Opt Depth {.001},SnowDepth {cm},Days Last Snow,Albedo {.01},Rain {mm},Rain Quantity {hr}
Date,HH:MM,Datasource,Dry Bulb Temperature {C},Dew Point Temperature {C},Relative Humidity {%},Atmospheric Pressure {Pa},Extraterrestrial Horizontal Radiation {Wh/m2},Extraterrestrial Direct Normal Radiation {Wh/m2},Horizontal Infrared Radiation Intensity from Sky {Wh/m2},Global Horizontal Radiation {Wh/m2},Direct Normal Radiation {Wh/m2},Diffuse Horizontal Radiation {Wh/m2},Global Horizontal Illuminance {lux},Direct Normal Illuminance {lux},Diffuse Horizontal Illuminance {lux},Zenith Luminance {Cd/m2},Wind Direction {deg},Wind Speed {m/s},Total Sky Cover {.1},Opaque Sky Cover {.1},Visibility {km},Ceiling Height {m},Present Weather Observation,Present Weather Codes,Precipitable Water {mm},Aerosol Optical Depth {.001},Snow Depth {cm},Days Since Last Snow,Albedo {.01},Liquid Precipitation Depth {mm},Liquid Precipitation Quantity {hr}
1995/1/1,01:00,E7E7E7E7*0?4?4?4I4I4I4?0E7E7E7E7*0*0E7*0*0*0,11.0,10.2,95,76400,0,0,317,0,0,0,0,0,0,99990,83,0.7,9,4,777.7,77777,9,'9999999?0,19,0.0000,0,88,0.000,0.0,0.0
1995/1/1,02:00,E7E7E7E7*0?4?4?4I4I4I4?0E7E7E7E7*0*0E7*0*0*0,10.8,10.1,95,76400,0,0,316,0,0,0,0,0,0,99990,72,0.3,9,4,777.7,77777,9,'9999999?0,19,0.0000,0,88,0.000,0.0,0.0
1995/1/1,03:00,E7E7E7E7*0?4?4?4I4I4I4?0E7E7E7E7*0*0E7*0*0*0,10.6,9.9,96,76400,0,0,315,0,0,0,0,0,0,99990,114,0.2,9,4,777.7,77777,9,'9999999?0,19,0.0000,0,88,0.000,0.0,0.0
1995/1/1,04:00,E7E7E7E7*0?4?4?4I4I4I4?0E7E7E7E7*0*0E7*0*0*0,10.3,9.8,96,76400,0,0,313,0,0,0,0,0,0,99990,130,0.5,9,4,777.7,77777,9,'9999999?0,18,0.0000,0,88,0.000,0.0,0.0
1995/1/1,05:00,E7E7E7E7*0?4?4?4I4I4I4?0E7E7E7E7*0*0E7*0*0*0,10.1,9.7,97,76400,0,0,312,0,0,0,0,0,0,99990,128,0.5,9,4,777.7,77777,9,'9999999?0,18,0.0000,0,88,0.000,0.0,0.0
1995/1/1,06:00,E7E7E7E7*0?4?4?4I4I4I4?0E7E7E7E7*0*0E7*0*0*0,9.9,9.6,98,76400,0,0,311,0,0,0,0,0,0,99990,117,0.9,9,4,777.7,77777,9,'9999999?0,18,0.0000,0,88,0.000,0.0,0.0
1995/1/1,07:00,E7E7E7E7*0?4?4?4I4I4I4?0E7E7E7E7*0*0E7*0*0*0,10.8,10.3,97,76400,1413,124,316,25,0,25,2900,0,2900,99990,96,0.5,9,4,777.7,77777,9,'9999999?0,19,0.0000,0,88,0.000,0.0,0.0
1995/1/1,08:00,E7E7E7E7*0?4?4?4I4I4I4?0E7E7E7E7*0*0E7*0*0*0,13.6,12.0,90,76400,1413,450,330,184,160,133,20600,13500,16300,99990,102,1.5,9,4,777.7,77777,9,'9999999?0,22,0.0000,0,88,0.000,0.0,0.0
1995/1/1,09:00,E7E7E7E7*0?4?4?4I4I4I4?0E7E7E7E7*0*0E7*0*0*0,14.2,12.3,88,76400,1413,743,336,156,0,156,18500,0,18600,99990,79,0.9,10,5,777.7,77777,9,'9999999?0,22,0.0000,0,88,0.000,0.0,0.0
1995/1/1,10:00,E7E7E7E7*0?4?4?4I4I4I4?0E7E7E7E7*0*0E7*0*0*0,17.3,13.7,79,76400,1413,982,350,467,187,337,52800,17700,40500,99990,118,3.9,9,4,777.7,77777,9,'9999999?0,24,0.0000,0,88,0.000,0.0,0.0
1995/1/1,11:00,E7E7E7E7*0?4?4?4I4I4I4?0E7E7E7E7*0*0E7*0*0*0,18.5,14.0,75,76400,1413,1151,359,381,29,357,42900,1700,41500,99990,95,2.3,10,5,777.7,77777,9,'9999999?0,25,0.0000,0,88,0.000,0.0,0.0
