Fecha numérica,Fecha,TRM Proyectada,TRM Proyectada Sup,TRM Proyectada Inf
738349,2022-07-13,4082.108977735392,4242.143201666275,3966.0450877825388
738350,2022-07-14,4082.8354939626297,4242.898200097499,3966.7509474570224
738351,2022-07-15,4083.562010189984,4243.653198528845,3967.4568071316194
738352,2022-07-16,4084.288526417222,4244.408196960069,3968.162666806103
738353,2022-07-17,4085.0150426444598,4245.163195391294,3968.8685264805868
738354,2022-07-18,4085.741558871814,4245.918193822639,3969.574386155183
738355,2022-07-19,4086.468075099052,4246.673192253863,3970.280245829667
738356,2022-07-20,4087.19459132629,4247.428190685087,3970.9861055041506
738357,2022-07-21,4087.921107553644,4248.183189116433,3971.6919651787475
738358,2022-07-22,4088.647623780882,4248.938187547657,3972.397824853231
738359,2022-07-23,4089.3741400082363,4249.693185979003,3973.1036845278277
738360,2022-07-24,4090.100656235474,4250.448184410227,3973.8095442023114
738361,2022-07-25,4090.827172462712,4251.203182841452,3974.515403876795
738362,2022-07-26,4091.5536886900663,4251.958181272797,3975.221263551392
738363,2022-07-27,4092.280204917304,4252.713179704022,3975.9271232258757
738364,2022-07-28,4093.0067211446585,4253.468178135367,3976.632982900472
738365,2022-07-29,4093.7332373718964,4254.223176566592,3977.338842574956
738366,2022-07-30,4094.4597535991343,4254.978174997816,3978.0447022494395
738367,2022-07-31,4095.1862698264886,4255.733173429161,3978.7505619240364
738368,2022-08-01,4095.9127860537264,4256.488171860386,3979.45642159852
738369,2022-08-02,4096.639302280964,4257.24317029161,3980.162281273004
738370,2022-08-03,4097.365818508319,4257.998168722956,3980.8681409476003
738371,2022-08-04,4098.0923347355565,4258.75316715418,3981.574000622084
738372,2022-08-05,4098.818850962911,4259.508165585526,3982.279860296681
738373,2022-08-06,4099.545367190149,4260.26316401675,3982.9857199711646
738374,2022-08-07,4100.271883417387,4261.018162447975,3983.6915796456483
738375,2022-08-08,4100.998399644741,4261.77316087932,3984.3974393202448
738376,2022-08-09,4101.724915871979,4262.528159310545,3985.1032989947284
738377,2022-08-10,4102.451432099333,4263.28315774189,3985.8091586693254
738378,2022-08-11,4103.177948326571,4264.038156173114,3986.515018343809
738379,2022-08-12,4103.904464553809,4264.793154604338,3987.2208780182928
738380,2022-08-13,4104.630980781163,4265.548153035684,3987.926737692889
738381,2022-08-14,4105.357497008401,4266.303151466908,3988.632597367373
738382,2022-08-15,4106.084013235639,4267.058149898133,3989.3384570418566
738383,2022-08-16,4106.810529462993,4267.813148329478,3990.0443167164535
738384,2022-08-17,4107.537045690231,4268.568146760703,3990.750176390937
738385,2022-08-18,4108.263561917585,4269.323145192048,3991.4560360655337
738386,2022-08-19,4108.990078144823,4270.078143623273,3992.1618957400174
738387,2022-08-20,4109.716594372061,4270.833142054497,3992.867755414501
738388,2022-08-21,4110.443110599415,4271.588140485843,3993.573615089098
738389,2022-08-22,4111.169626826653,4272.343138917066,3994.2794747635817
738390,2022-08-23,4111.896143054008,4273.098137348412,3994.985334438178
738391,2022-08-24,4112.622659281245,4273.853135779636,3995.691194112662
738392,2022-08-25,4113.349175508483,4274.608134210861,3996.3970537871455
738393,2022-08-26,4114.075691735838,4275.363132642206,3997.1029134617424
738394,2022-08-27,4114.8022079630755,4276.118131073431,3997.808773136226
738395,2022-08-28,4115.528724190313,4276.8731295046555,3998.51463281071
