Año,Semana,Total Naturales,Naturales Hombre,Naturales Mujer,Naturales Indeterminado,Total Violentas,Violentas Hombre,Violentas Mujer,Violentas Indeterminado,Total en estudio,En estudio Hombre,En estudio Mujer,En estudio Indeterminado
2015,1,3973,2085,1888,0,736,622,111,3,37,25,12,0
2015,2,4052,2083,1969,0,511,445,66,0,25,16,9,0
2015,3,3930,2062,1868,0,568,481,86,1,27,13,14,0
2015,4,3727,1887,1840,0,514,445,69,0,39,29,9,1
2015,5,3637,1853,1784,0,520,429,91,0,28,25,3,0
2015,6,3559,1775,1784,0,510,438,72,0,21,17,4,0
2015,7,3555,1789,1766,0,488,392,96,0,27,23,4,0
2015,8,3552,1857,1695,0,524,439,85,0,28,18,10,0
2015,9,3573,1792,1781,0,538,449,89,0,26,17,8,1
2015,10,3505,1789,1716,0,579,471,101,7,25,13,12,0
2015,11,3700,1866,1834,0,530,452,78,0,35,19,14,2
2015,12,3508,1782,1726,0,535,448,85,2,28,22,6,0
2015,13,3611,1802,1809,0,558,471,87,0,23,14,8,1
2015,14,3508,1822,1686,0,533,470,63,0,26,16,8,2
2015,15,3511,1803,1708,0,524,433,91,0,24,20,4,0
2015,16,3525,1757,1768,0,517,450,67,0,21,15,6,0
2015,17,3485,1756,1729,0,522,448,74,0,35,26,9,0
2015,18,3604,1806,1798,0,558,469,89,0,24,16,8,0
2015,19,3685,1899,1786,0,530,438,92,0,26,20,6,0
2015,20,3701,1885,1816,0,558,466,92,0,18,12,5,1
2015,21,3499,1821,1678,0,642,500,140,2,24,17,7,0
2015,22,3423,1734,1689,0,577,485,92,0,24,15,9,0
2015,23,3551,1868,1683,0,530,458,72,0,21,11,10,0
2015,24,3566,1775,1791,0,556,478,78,0,20,12,8,0
2015,25,3679,1878,1801,0,577,487,90,0,28,20,8,0
2015,26,3761,1885,1876,0,555,486,69,0,27,19,8,0
2015,27,3767,1888,1879,0,579,481,98,0,23,16,6,1
2015,28,3780,1907,1873,0,526,460,64,2,28,18,10,0
2015,29,3605,1805,1800,0,512,442,70,0,22,15,7,0
2015,30,3429,1736,1693,0,508,417,91,0,33,22,9,2
2015,31,3516,1791,1725,0,525,448,77,0,28,15,12,1
2015,32,3695,1828,1867,0,574,478,95,1,27,18,9,0
2015,33,3596,1833,1763,0,473,414,59,0,32,23,9,0
2015,34,3504,1742,1762,0,478,396,82,0,18,15,3,0
2015,35,3523,1813,1710,0,532,468,64,0,28,24,4,0
2015,36,3695,1854,1841,0,512,423,88,1,26,19,7,0
2015,37,3613,1834,1779,0,494,412,82,0,28,21,7,0
2015,38,3617,1875,1742,0,554,478,75,1,32,22,10,0
2015,39,3684,1857,1827,0,506,430,76,0,27,17,10,0
2015,40,3717,1909,1808,0,488,411,77,0,27,19,8,0
2015,41,3601,1818,1783,0,537,464,72,1,24,16,7,1
2015,42,3511,1763,1748,0,496,428,67,1,38,22,16,0
2015,43,3533,1808,1725,0,470,389,81,0,24,17,7,0
2015,44,3666,1865,1801,0,553,480,73,0,19,11,8,0
2015,45,3597,1837,1760,0,554,443,111,0,23,18,5,0
2015,46,3781,1885,1896,0,558,469,89,0,24,16,7,1
2015,47,3750,1922,1828,0,527,449,78,0,26,13,12,1
2015,48,3711,1901,1810,0,553,462,90,1,25,17,8,0
2015,49,3757,1903,1854,0,576,468,108,0,35,26,9,0
2015,50,3717,1921,1796,0,568,497,71,0,39,25,14,0
2015,51,3742,1909,1833,0,530,447,82,1,29,18,11,0
2015,52,3850,2005,1845,0,680,594,86,0,23,19,4,0
2015,53,3919,2021,1898,0,650,533,115,2,40,27,12,1
2016,1,3870,1973,1897,0,581,480,100,1,23,15,8,0
2016,2,3851,2009,1842,0,560,483,76,1,24,16,8,0
2016,3,3810,1946,1864,0,543,453,90,0,36,22,14,0
2016,4,3673,1796,1877,0,551,481,69,1,29,19,10,0
2016,5,3599,1818,1781,0,556,474,82,0,28,16,11,1
2016,6,3613,1812,1801,0,471,388,83,0,29,17,12,0
2016,7,3572,1787,1785,0,536,463,72,1,23,11,12,0
2016,8,3517,1769,1748,0,551,478,73,0,32,25,7,0
2016,9,3662,1811,1851,0,505,430,73,2,23,14,9,0
2016,10,3643,1837,1806,0,555,468,87,0,20,13,7,0
2016,11,3648,1818,1830,0,548,474,73,1,32,24,7,1
2016,12,3721,1855,1866,0,524,433,91,0,30,21,9,0
2016,13,3566,1825,1741,0,504,417,86,1,22,14,8,0
2016,14,3584,1844,1740,0,488,414,74,0,40,23,17,0
2016,15,3597,1811,1786,0,532,442,90,0,24,18,6,0
2016,16,3675,1859,1816,0,514,432,81,1,22,17,5,0
