Hora,T Ambiente,Velocidad viento,Humedad relativa,Direccion Viento
0,8.71,0,91.5,80.5
1,9.67,0.35,94,85.5
2,10.9,0.5,95,77.5
3,10.7,0.25,95.5,93
4,10.45,0.35,96,122
5,10.2,0.5,96.5,129
6,10,0.7,97.5,122.5
7,10.13,0.7,97.5,106.5
8,12.16,1,93.5,99
9,13.89,1.2,89,90.5
10,15.8,2.4,83.5,98.5
11,18,3.1,77,106.5
12,18.86,2.1,73.5,115.5
13,19.08,2.1,71.5,118
14,19.39,2.5,70,79
15,19.92,2.2,68,79
16,20.18,2.65,67.5,115.5
17,19.26,2.55,70,106
18,17.97,1.8,74,95.5
19,16.99,1.6,77,103.5
20,16.14,1.1,79.5,99
21,15.3,1.15,82,107.5
22,14.5,0.85,83.5,94.5
23,13.7,0.35,85,80
24,12.86,0.2,86.5,83
25,12.01,0.25,88.5,96.5
26,11.15,1.2,90.5,98.5
27,10.25,3,92,92.5
28,9.35,3.3,94,82.5
29,8.45,3.3,96,81
30,7.55,2.9,97.5,88.5
31,7.25,2.2,97.5,88.5
32,9.49,1.55,94,85.5
33,11.84,0.75,88.5,79
34,14.96,0.85,80,87.5
35,18.25,1,71,74
36,19.51,0.85,66.5,89
37,18.95,1.1,66.5,103.5
38,18.06,1.9,68.5,96
39,17.87,1.5,69.5,105.5
40,17.56,1.3,71,86
41,17.16,1.3,72.5,89
42,16.32,1.05,75.5,103.5
43,15.3,0.75,79.5,101.5
44,14.65,0.25,82,115
45,13.95,0.15,84,115.5
46,13.25,0.1,86,109
47,12.59,0.05,87.5,98.5
48,11.93,0,88.5,115
49,11.35,0,89.5,131
50,10.85,0,90.5,144.5
51,10.3,0.05,91.5,168.5
52,9.75,0.1,93,146.5
53,9.25,0.1,94.5,127.5
54,8.75,0.1,96,127.5
55,8.71,0.15,96.5,127
56,10.7,0.25,93.5,124
57,12.9,0.45,88.5,123
58,15,0.7,83,114
59,16.66,1.65,78,102.5
60,17.37,2.4,75.5,109
61,18.05,2.65,73,102.5
62,18.93,2.35,71,74.5
63,18.51,1.15,72,79.5
64,17.77,0.85,74.5,107
65,16.75,2.5,78.5,128
66,15.32,5.5,83,128
67,14.56,6.4,86,94.5
68,14.26,4,88,71
69,13.9,2.2,89.5,85.5
70,13.5,2.4,90.5,96
71,13.14,2.4,91,86.5
72,12.8,2.1,91.5,77.5
73,12.45,1.9,91.5,84
74,12.1,1.7,91.5,101.5
75,11.75,2.1,92.5,91
76,11.39,2.9,93.5,70
77,11.05,4.3,95,69.5
78,10.75,3.6,97,70.5
79,10.52,1.3,98,71.5
80,11.5,0.6,96,89.5
81,12.97,0.55,92.5,97
82,13.99,0.45,89.5,87
83,14.48,0.4,87.5,110
84,14.81,0.4,85.5,110
85,15.27,0.9,83,104
86,15.5,0.95,81.5,125
87,15.7,0.3,80.5,122.5
88,15.9,0.25,79.5,128
89,15.81,0.4,80,133
90,15.05,0.7,82,112
91,14.35,1,84,88.5
92,13.69,1.4,86,75
93,13.05,1.15,87.5,72
94,12.41,0.9,88.5,108
95,11.75,1.05,89.5,117
96,11.05,0.9,90.5,86.5
97,10.36,2.25,92,70
98,9.61,4.05,94,74
99,8.8,3.5,95.5,68
100,8,1.85,96.5,74
101,7.2,2.4,98,100.5
102,6.4,2.85,99,96.5
103,5.99,2.55,99,94
104,8.14,2.1,96,95.5
105,11.16,1.05,89.5,116.5
106,13.94,0.75,83,121
107,15.21,0.45,78.5,92.5
108,16.42,0.3,74.5,97.5
109,17.66,0.3,71,116
110,18.82,0.75,67.5,125.5
111,19.68,1.05,65.5,104
112,18.62,0.9,68.5,86
113,17.15,1.6,73.5,97
114,15.46,2.95,79,101
115,14.6,3.3,83,87
116,14.2,1.9,85,72.5
117,13.75,1.65,87,73
118,13.3,2.5,88.5,89
119,12.9,2,89,92
120,12.49,1.8,89.5,79
121,12.15,3.3,89.5,85.5
122,11.85,4.5,89.5,76.5
123,11.55,4.2,90.5,75.5
124,11.25,3.45,92,92.5
125,10.95,2.75,93.5,83.5
126,10.65,2.3,95.5,65
127,10.63,2.2,96.5,68
128,11,2.2,96,86
129,11.26,1.9,96,73.5
130,12.23,1.15,94,62
131,13.27,0.75,91.5,97
132,13.37,1.3,90.5,125
133,13.6,2.5,89.5,120
134,13.97,3.9,88.5,94.5
135,14.11,4.7,88,83
136,14.21,3.8,88,59.5
137,14.24,1.7,88.5,46
138,13.89,0.4,90,92
139,13.55,0.15,92,125.5
140,13.25,0.15,93.5,128
141,12.9,0.15,94,124
142,12.55,0.15,94.5,121
143,12.25,0.1,95,113.5
144,11.95,0.1,95.5,114
145,11.64,0.1,95.5,120.5
146,11.39,0.1,95.5,122.5
147,11.2,0.1,96,126.5
148,10.96,0.15,96.5,141
149,10.7,0.3,97.5,123
150,10.41,0.3,98.5,106.5
151,10.35,0.15,99,124
152,10.45,0.2,99,125
153,11.02,0.3,97.5,106
154,12.7,0.3,93.5,101
155,14.29,0.4,88.5,102
156,14.88,0.6,85,115
157,15,0.5,83,120
158,15.17,0.7,81.5,101
159,15.11,1.15,81,115.5
160,15.14,0.8,80.5,120.5
161,14.98,0.6,80.5,117.5
162,14.4,0.85,81.5,123.5
163,13.8,1.2,83,111.5
164,13.2,1.8,84.5,94
165,12.6,1.75,85.5,87.5
166,12,1.55,86,75
167,11.4,1.55,86.5,72
168,10.92,1.4,87,88.5
169,10,0.95,89.5,100
170,8.8,0.55,93,102.5
171,7.6,0.9,95,99.5
172,6.4,0.8,97,91.5
173,5.16,0.25,98.5,92.5
174,3.87,0.05,99,107.5
175,3.28,0,99,118.5
176,4.98,0,97,122.5
177,7.29,0.1,92,123
178,10.1,0.4,85,106
179,13.06,1.8,76.5,97
180,15.9,3.75,67.5,82
181,18.22,5.65,60.5,71.5
182,19.41,8.35,57,79
183,20.09,7.6,55.5,72
184,19.99,3.4,56,87.5
185,18.85,2.8,59.5,83
186,17.08,4.1,65,80.5
187,15.74,3.3,69.5,89.5
188,14.79,1.95,73,78.5
189,13.85,1.4,76,95
190,12.95,2.35,78.5,99.5
191,12.05,3.15,81,78.5
192,11.08,3.55,83,70.5
193,10.25,3.3,84.5,66.5
194,9.55,3.05,86,69.5
195,8.8,3.45,88,82
196,8.05,2.9,90,84
197,7.35,2.1,92.5,67.5
198,6.65,1.4,95,54.5
199,6.09,1.7,96.5,76
200,7.48,2.2,94.5,87
201,9.74,1.45,89.5,75.5
202,12.09,1.25,83.5,67.5
203,14.63,1.8,75.5,67
204,17.27,2.1,68,67.5
205,17.84,1.7,65,83.5
206,17.56,0.9,65.5,118.5
207,17.11,0.8,67,107
208,15.79,0.8,71,91
209,14.4,0.75,76,79.5
210,13.2,1.75,80,62.5
211,12.35,3.15,83,64
212,12.1,3.05,85,63
213,11.7,2.3,86.5,77.5
214,11.35,1.9,87.5,84
215,11,1.3,88,83
216,10.61,1.05,88.5,87
217,10.16,1.15,89,103.5
218,9.65,2.05,89.5,102
219,9.1,2.05,91,82.5
220,8.55,0.9,93,108
221,8.05,0.9,94.5,116.5
222,7.49,1.4,96.5,97.5
223,7.39,1.45,97,98
224,8.7,1.05,95,94.5
225,9.94,1,92.5,76.5
226,11.98,2.35,87,83.5
227,14.21,4.95,80.5,80.5
228,15.36,4.95,76.5,51
229,16.06,4.45,74,56
230,16.64,6.2,72,54.5
231,16.76,8.1,71.5,45.5
232,16.1,8.3,73,204
233,15.12,6,76.5,357
234,13.87,7.8,80.5,356.5
235,13.15,9.3,83,351.5
236,12.65,6.4,85,350.5
237,12.15,3.7,87,199
238,11.65,1.3,88.5,64
239,11.15,0.5,89,91.5
240,10.65,0.85,89.5,89
241,10.15,1.05,90.5,90
242,9.56,0.9,91.5,100
243,8.9,1.3,92.5,103.5
244,8.3,1.3,94,104.5
245,7.7,1.2,96,93
246,7.1,2.25,97.5,78.5
247,6.9,2.75,97.5,77.5
248,8.8,2,95,74.5
249,11,3.2,90.5,68.5
250,13.33,4.5,84.5,44
251,15.25,3.4,79,24
252,16.37,1.95,75.5,59
253,16.91,1.45,74,92
254,16.57,1,74.5,88
255,16.35,2.2,75,85
256,16.25,4.5,75.5,92
257,15.79,4.9,78.5,55
258,14.39,6.2,83,13.5
259,13.51,6.4,86,26
260,13.11,4.15,88,35
261,12.65,2.65,90,41
262,12.15,2.4,91.5,71
263,11.65,2.4,92.5,93.5
264,11.18,2.8,93.5,84
265,10.83,4.8,93.5,55
266,10.6,5.4,93,45
267,10.4,3.1,93.5,201.5
268,10.2,1.2,94.5,209.5
269,10,0.75,95.5,74
270,9.8,0.8,97,85
271,9.78,1.25,97.5,78.5
272,10.52,1,96,76
273,11.56,0.3,93.5,71.5
274,12.51,0.35,90.5,72
275,13.45,0.35,87.5,68.5
276,14.02,0.2,85,80
277,14.25,0.4,83,107.5
278,14.53,0.8,81,82.5
279,14.33,0.85,80.5,70.5
280,13.95,0.65,81,63
281,13.82,0.7,81.5,88.5
282,13.48,1.5,83,115
283,12.89,2.7,84.5,105
284,12.35,1.95,85.5,106.5
285,11.85,0.7,86.5,93.5
286,11.35,0.6,87.5,85
287,10.85,0.3,88,103.5
288,10.35,0.1,88,140
289,9.61,0.05,90,145.5
290,8.51,0.25,92.5,134.5
291,7.45,0.75,94,139.5
292,6.35,2.35,96,128.5
293,5.25,2.85,98,112
294,4.17,2.7,99,110
295,3.83,3.7,98.5,110
296,5.53,3.4,96,94.5
297,8.78,2.3,88.5,83.5
298,12.48,2.1,78,99.5
299,15.16,2.3,70,94
300,15.57,1.6,66.5,95.5
301,16.07,0.9,64.5,103.5
302,16.81,0.9,62,91
303,17.36,0.7,60,76
304,17.75,0.45,59,86
305,17.03,0.5,61,98.5
306,15.18,1,66,94.5
307,13.79,2.95,71,89.5
308,12.75,3.5,74.5,79
309,11.65,1.85,77.5,75.5
310,10.55,1.15,80,88.5
311,9.45,2.2,82.5,91.5
312,8.35,2.2,85,75.5
313,7.32,0.9,87,80
314,6.51,0.6,89,91.5
315,5.65,0.3,91,76
316,4.75,0.1,93,99.5
317,3.85,0.1,95,131.5
318,2.95,0.1,96.5,114
319,2.81,0.05,96,118.5
320,5.3,0.05,91.5,130.5
321,7.9,0.2,84,117
322,10.81,0.5,74.5,128.5
323,14.23,0.55,64,138.5
324,17.24,0.4,55.5,115.5
325,18.73,0.25,50,107.5
326,19.66,0.05,47,121
327,20.42,0.15,45,147.5
328,20.61,0.6,44,148.5
329,19.99,1.05,45.5,112
330,18.28,1.55,50,98
331,16.55,1.55,55,111.5
332,15.05,1.65,59,127
333,13.55,2.55,63,124.5
334,12.05,2.35,66.5,113
335,10.55,1.6,69.5,103.5
336,9.05,1.35,73,90
337,7.63,1.2,77.5,73.5
338,6.31,1.45,81.5,68.5
339,4.85,2.2,85,86.5
340,3.4,3.6,89,87
341,1.96,4.05,92.5,71.5
342,0.46,3.45,95,65.5
343,0.15,3.15,94.5,61.5
344,2.94,3.55,89,71.5
345,6.21,3,80,85
346,9.47,1.65,70.5,82.5
347,12.21,1,61.5,84
348,14.77,0.5,53.5,83.5
349,17.01,0.45,47.5,104
350,18.2,0.8,44,122.5
351,18.93,2.2,42.5,92
352,18.92,5.4,43,77.5
353,17.69,6.7,46,87
354,15.58,6.35,51.5,78
355,13.8,8.95,57,73
356,12.4,9.75,61,67
357,10.95,7.35,65.5,54.5
358,9.5,6,69.5,44.5
359,8.1,5.1,73,43
360,6.7,3.1,76.5,52.5
361,5.51,1.3,79.5,70.5
362,4.55,1.15,82.5,82.5
363,3.45,1.25,85.5,74
364,2.35,0.65,88.5,70
365,1.25,0.15,91.5,84
366,0.15,0.2,94.5,89
367,-0.14,0.45,94.5,74
368,3.61,0.6,87.5,96.5
369,7.79,0.55,76.5,115.5
370,11.49,1.4,66.5,83.5
371,14.81,2,58,79.5
372,17.64,1.9,50.5,107
373,19.78,2.3,45,124
374,21.29,1.55,42,103
375,22.06,1,41,89
376,21.98,2.35,42.5,101.5
377,20.53,2.4,47,78
378,17.7,1.1,54.5,63.5
379,15.81,1.3,61.5,102
380,14.8,1.8,66,121
381,13.8,1.1,70,97
382,12.8,0.35,73.5,93
383,11.8,0.35,76.5,105.5
384,10.8,0.65,80,84
385,10.03,1.25,80.5,68.5
386,9.7,1.8,80,84.5
387,9.3,2.1,82,89.5
388,8.9,2,84.5,92
389,8.5,1.25,87,99.5
390,8.06,0.65,90.5,92
391,7.83,0.4,93,96.5
392,9.96,0.75,89,107
393,12.85,1.85,82.5,85
394,13.28,2.9,80.5,74
395,12.57,2.1,82,75
396,12.28,1.5,82,79
397,13.78,1.8,78,79
398,15.65,2,72,75
399,17.3,3.9,68,95.5
400,17.65,4.9,67,98.5
401,17.51,3.75,68,80
402,16.76,2.1,71,76
403,15.85,1.15,74.5,80
404,15.15,0.8,77.5,100.5
405,14.45,0.65,80,97
406,13.7,1.55,82,78
407,12.95,2.8,84,88.5
408,12.25,2.9,85.5,90
409,11.55,2.2,86.5,89.5
410,10.81,1.4,88,89
411,10.05,0.9,90,90.5
412,9.3,0.5,92,103
413,8.54,0.15,94.5,115
414,7.8,0.55,97,121
415,7.27,0.55,97.5,102.5
416,9.45,0.55,94,99
417,12.64,0.9,86.5,93.5
418,15.2,0.7,79,74
419,16.1,1.4,74.5,98.5
420,16.9,3.8,71.5,112.5
421,17.7,4.9,68,76
422,17.87,3.4,66.5,65
423,17.63,2.8,66.5,90
424,18,4.8,65.5,75.5
425,18.35,4.8,65,36.5
426,17.58,3.45,67,52
427,16.36,3.15,71,69
428,15.2,3.6,74.5,65.5
429,14,4.3,77.5,68.5
430,12.85,4.5,80.5,58
431,11.7,5.6,83,41
432,10.5,5.8,85,39
433,9.47,5.5,87.5,30.5
434,8.59,3.7,90,175.5
435,7.65,1.4,92,213
436,6.75,1.1,94,89
437,5.81,1.3,96,75.5
438,4.82,1.3,97.5,62.5
439,4.74,1.5,96.5,62
440,8.33,1.8,89.5,69.5
441,12.1,2,79,82.5
442,15.72,3.1,69,83
443,18.35,4,60.5,64
444,20.45,5.8,54,58
445,22.35,7.5,49,66
446,23.24,6,46.5,56
447,23.14,4.5,46.5,43.5
448,22.6,4.05,48,55.5
449,21.56,3.15,51,83.5
450,19.49,3.6,56,89.5
451,17.8,3.9,61,78.5
452,16.54,3.9,65,81
453,15.3,3.75,68.5,50
454,14.1,2.55,72,20.5
455,12.86,2.7,75,65
456,11.59,2.9,77.5,57
457,10.44,2,80.5,23
458,9.4,1.45,83,54.5
459,8.35,1.25,85.5,74
460,7.3,0.9,88.5,59.5
461,6.26,0.5,91.5,52.5
462,5.16,0.4,94.5,75.5
463,4.89,0.4,95.5,111
464,6.26,0.55,93,96
465,9.28,1.45,85,88.5
466,13.03,1.75,74.5,96.5
467,15.76,1.65,66,80
468,18.58,1.8,57.5,94.5
469,20.8,2.1,51.5,108.5
470,21.99,3.9,48.5,104
471,22.8,5.5,46.5,94
472,22.83,6.25,46.5,86.5
473,21.9,7.6,49,76
474,20.06,7.15,54,39
475,18.43,4,59,20
476,17.2,1.45,63,42
477,16,0.8,66.5,69.5
478,14.8,0.7,70,75.5
479,13.6,0.4,73.5,74.5
480,12.34,0.15,76.5,65.5
481,11.15,0.25,79,94.5
482,10.05,0.65,81.5,119
483,8.95,1.4,84.5,106
484,7.85,2.6,88,90
485,6.75,3.3,91.5,88
486,5.61,3,94.5,98
487,4.7,2.5,96,76.5
488,6.98,2.65,93,67
489,10.1,4.35,86,79.5
490,13.17,6,77,48.5
491,16.75,5.6,66.5,27.5
492,20.13,6.65,58,26.5
493,21.55,11.55,53.5,24.5
494,22.65,13.6,51,192
495,23.43,10.45,50,335
496,23.07,6.85,51.5,341
497,21.59,5.6,55.5,179.5
498,19.46,4.9,62,35.5
499,17.99,3.45,67.5,43
500,17.21,2.85,70.5,33
501,16.35,3.15,73.5,37
502,15.5,2.85,76.5,17
503,14.65,3,79,15
504,13.79,3.45,81.5,42
505,13.03,4.15,82.5,205
506,12.4,3.8,83,201.5
507,11.8,3.4,85,64.5
508,11.15,3.2,87.5,68.5
509,10.5,2,90.5,69.5
510,9.9,1.9,94,79
511,9.94,0.95,94,73.5
512,11.87,0.2,89.5,68.5
513,14.57,0.15,82,76
514,16.91,0.15,74,108
515,18.75,0.25,67.5,109.5
516,20.5,0.2,61,94.5
517,21.38,0.15,57,110
518,20.66,0.2,57,116
519,20.38,0.25,57,118.5
520,20.73,0.85,56,116
521,19.97,1.45,57,94.5
522,18.81,2.7,60,79
523,17.5,5.1,63.5,78.5
524,16.16,4.5,67,81.5
525,14.8,3,70.5,71
526,13.4,2.35,73,71
527,12.04,1.55,75.5,107.5
528,10.73,1.55,78,115.5
529,9.2,1.4,82.5,96
530,7.59,0.95,87.5,102
531,6.05,0.3,90.5,98.5
532,4.55,0.3,93.5,112
533,3.01,0.35,96.5,127
534,1.43,0.25,98,121
535,0.71,0.25,97,105.5
536,4.45,0.15,90,86.5
537,8.95,0.3,77,118.5
538,13.29,0.6,64,133.5
539,17,1.2,53,130
540,19.99,1.15,44.5,113.5
541,22.26,0.9,39,102.5
542,23.97,1.3,35.5,131.5
543,24.21,1.4,34.5,137.5
544,24.16,1,34.5,128.5
545,23.71,0.65,35.5,135.5
546,21.31,0.4,39.5,141.5
547,19.35,0.05,44,130
548,17.85,0,47.5,129.5
549,16.4,0,51,149.5
550,14.95,0,54.5,149.5
551,13.45,0.05,57.5,173.5
552,11.95,0.1,60.5,170.5
553,10.36,0.05,65,131.5
554,8.4,0,70.5,123.5
555,6.46,0,76,112.5
556,4.5,0,82,164
557,2.5,0.05,87.5,241.5
558,0.53,0.2,92,191
559,-0.56,0.35,93.5,129.5
560,2.41,0.65,88,123.5
561,6.52,1,77,100.5
562,10.54,0.95,65.5,121
563,14.16,0.6,55.5,125.5
564,17.26,0.3,48,125
565,19.54,0.25,43,135.5
566,21.09,0.55,40,128
567,21.87,1,38.5,129
568,21.68,1.85,39.5,124
569,20.43,2.4,43.5,118.5
570,17.82,1.85,50,113.5
571,15.9,1.15,56.5,121
572,14.7,1,61,135
573,13.5,1.15,65,129
574,12.25,1.15,69,125
575,11,1.6,73,107.5
576,9.8,1.5,77,95.5
577,8.81,1.6,78.5,93.5
578,8.36,1.4,79,84.5
579,7.8,0.55,81,102.5
580,7.2,0.4,83.5,122
581,6.6,0.35,86.5,122
582,6,0.65,90.5,117
583,5.56,1.25,93.5,122
584,6.63,1.55,92,106
585,9.58,1.05,86.5,84
586,11.8,0.9,81,104.5
587,13.4,0.7,76.5,113
588,15.19,0.45,71.5,126
589,16.92,0.4,67.5,120
590,17.72,0.35,65.5,94.5
591,18.28,0.4,65,109.5
592,17.9,0.3,67.5,111.5
593,16.81,0.7,72,104.5
594,15.57,1,77,116.5
595,14.79,1.15,81,134
596,14.55,0.95,83,121.5
597,14.25,0.65,85,105
598,14,0.75,86.5,127
599,13.75,0.6,88,134.5
600,13.45,0.65,89.5,120.5
601,13.23,0.55,88,124
602,13.15,0.35,86.5,114.5
603,13.05,1.15,88,121.5
604,12.9,2,89.5,115
605,12.75,1.25,91,80
606,12.65,0.35,94.5,100
607,12.79,0.5,96.5,119.5
