MES,FECHA,DESCRIPCIÓN,PAX AFECTADOS,MARCA,REFERENCIA,MODELO
1,01/01/10,Caja de velocidades,13,AGRALE,"MA8,5TCA",2007
1,02/01/10,Aire acondicionado,26,CHEVROLET,LV150,2004
1,02/01/10,Turbo,14,MERCEDES BENZ,313CDI,2002
1,02/01/10,Corto eléctrico,24,AGRALE,"MA8,5TCA",2006
1,03/01/10,Aire acondicionado,26,MERCEDES BENZ,O500RS,2008
1,03/01/10,Culata,24,AGRALE,"MA8,5TCA",2006
1,03/01/10,Tornillos barra estabilizadora,34,MERCEDES BENZ,OH1636,2006
1,03/01/10,Válvula despinada,26,AGRALE,"MA8,5TCA",2008
1,04/01/10,Turbo,32,MERCEDES BENZ,OH1636,2008
1,04/01/10,Corto eléctrico,34,CHEVROLET,LV150,2007
1,04/01/10,Caja de velocidades,34,CHEVROLET,LV150,2005
1,04/01/10,Turbo,25,AGRALE,"MA8,5TCA",2005
1,05/01/10,Control cambios,16,MERCEDES BENZ,OH1636,2005
1,05/01/10,Caja de velocidades,25,AGRALE,"MA8,5TCA",2006
1,05/01/10,Alternador,21,HINO,FB4JJ,2007
1,06/01/10,Compresor,34,SCANIA,K124LL,2004
1,06/01/10,Válvula 4 vías,13,MERCEDES BENZ,OH1636,2005
1,06/01/10,Filtro combustible,31,SCANIA,K124LL,2007
1,06/01/10,Rodamiento rueda,13,AGRALE,"MA8,5TCA",2005
1,06/01/10,Culata,36,SCANIA,K360,2004
1,06/01/10,Manguera del turbo,20,AGRALE,"MA8,5TCA",2006
1,07/01/10,Regulador bomba inyección,34,CHEVROLET,LV150,2003
1,07/01/10,Válvula de motor,14,MERCEDES BENZ,313CDI,2004
1,07/01/10,Motor,32,CHEVROLET,LV150,2003
1,07/01/10,Rodamiento rueda,19,VOLVO,B12R,2004
1,08/01/10,Retenedor Caja de velocidades,30,CHEVROLET,LV150,2005
1,08/01/10,Turbo,23,AGRALE,"MA8,5TCA",2006
1,08/01/10,Temperatura,34,MERCEDES BENZ,OH1636,2006
1,08/01/10,Bomba de inyección,30,SCANIA,K360,2005
1,09/01/10,Apagado,34,MERCEDES BENZ,OH1636,2006
1,09/01/10,Guaya de cambios,32,CHEVROLET,LV150,2008
1,09/01/10,Apagado,21,HINO,FB4JJ,2008
1,09/01/10,Embrague,24,AGRALE,"MA8,5TCA",2006
1,10/01/10,Turbo,14,MERCEDES BENZ,313CDI,2004
1,10/01/10,Aire comprimido,34,MERCEDES BENZ,OH1636,2006
1,10/01/10,Muelle,14,AGRALE,"MA8,5TCA",2007
1,10/01/10,Caja de velocidades,19,CHEVROLET,LV150,2006
1,11/01/10,Regulador bomba inyección,34,CHEVROLET,LV150,2005
1,11/01/10,Regulador bomba inyección,34,CHEVROLET,LV150,2005
1,11/01/10,Tornillos barra estabilizadora,14,MERCEDES BENZ,OH1636,2002
1,11/01/10,Apagado,35,MERCEDES BENZ,OH1636,2006
1,11/01/10,Manguera del turbo,24,AGRALE,"MA8,5TCA",2007
1,11/01/10,Caja de velocidades,21,AGRALE,"MA8,5TCA",2006
1,12/01/10,Compresor,24,AGRALE,"MA8,5TCA",2007
1,12/01/10,Alternador,21,MERCEDES BENZ,OH1636,2006
1,12/01/10,Alternador,30,SCANIA,K124LL,2004
1,12/01/10,Retenedor eje trasero,32,MERCEDES BENZ,OH1636,2008
1,13/01/2010,Caja de velocidades,12,CHEVROLET,CHR580,1991
1,13/01/2010,Turbo,7,NISSAN,T5U41,2007
1,13/01/2010,Ventilador,27,CHEVROLET,LV150,2003
1,14/01/2010,Caja de velocidades,24,AGRALE,"MA8,5TCA",2007
1,14/01/2010,Apagado,15,SCANIA,K360,2004
1,14/01/2010,Compresor,20,SCANIA,K124TL,2006
1,14/01/2010,Manguera del turbo,5,MERCEDES BENZ,413CDI,2003
1,14/01/2010,Manguera radiador,21,AGRALE,"MA8,5TCA",2006
1,14/01/2010,Motor,34,MERCEDES BENZ,OH1636,2003
1,14/01/2010,Muelle,34,CHEVROLET,LV150,2003
1,15/01/2010,Bombona,36,VOLVO,B12R,2006
1,15/01/2010,Regulador bomba inyección,14,CHEVROLET,LV150,2005
1,15/01/2010,Turbo,15,MERCEDES BENZ,OH1636,2004
1,15/01/2010,Tornillos del cardan,16,CHEVROLET,LV150,2005
1,15/01/2010,Manguera del turbo,14,MERCEDES BENZ,313CDI,2004
1,15/01/2010,Bomba de inyección,34,SCANIA,K360,2005
1,16/01/2010,Intercooler,34,SCANIA,K124LL,2004
1,16/01/2010,Transmisión,15,MERCEDES BENZ,OH1636,2005
1,16/01/2010,Muelle,32,MERCEDES BENZ,OH1636,2002
1,16/01/2010,Filtro combustible,26,HINO,FB4JJ,2008
1,16/01/2010,Compresor,24,HINO,FB4JJ,2004
1,17/01/2010,Corto eléctrico,36,MERCEDES BENZ,OH1636,2007
1,17/01/2010,Guaya de cambios,21,HINO,FB4JJ,2005
1,18/01/2010,Muelle,23,CHEVROLET,LV150,2005
1,18/01/2010,Aire comprimido,34,CHEVROLET,LV150,2009
1,19/01/2010,Caja de velocidades,17,MERCEDES BENZ,OH1636,2002
1,19/01/2010,Turbo,15,MERCEDES BENZ,313CDI,2003
1,19/01/2010,Alternador,5,MITSUBISHI,RP1118,2004
1,20/01/2010,Caja de velocidades,8,HINO,FB4JJ,2006
1,20/01/2010,Manguera de combustible,24,MITSUBISHI,RP1118,2004
1,20/01/2010,Turbo,20,MERCEDES BENZ,OH1636,2004
1,20/01/2010,Apagado,9,AGRALE,"MA8,5TCA",2005
1,21/01/2010,Aire acondicionado,20,SCANIA,K124TL,2006
1,21/01/2010,Bomba de inyección,16,MERCEDES BENZ,413CDI,2004
1,21/01/2010,Alternador,23,MERCEDES BENZ,OH1636,2005
1,21/01/2010,Manguera del turbo,7,MERCEDES BENZ,413CDI,2008
1,22/01/2010,Polea,16,MERCEDES BENZ,413CDI,2004
1,22/01/2010,Tornillos del cardan,16,MERCEDES BENZ,413CDI,2009
1,23/01/2010,Transmisión,25,CHEVROLET,LV150,2005
1,24/01/2010,Combustible sucio,22,CHEVROLET,LV150,2003
1,24/01/2010,Fuerza,21,CHEVROLET,LV150,2008
1,24/01/2010,Corto eléctrico,13,SCANIA,K124LL,2007
1,24/01/2010,Embrague,9,MERCEDES BENZ,313CDI,2008
1,24/01/2010,Embrague,34,CHEVROLET,CHR580,1991
1,24/01/2010,Caja de velocidades,26,AGRALE,"MA8,5TCA",2006
1,25/01/2010,Apagado,26,VOLVO,B12R,2004
1,25/01/2010,Manguera de combustible,14,MERCEDES BENZ,313CDI,2002
1,25/01/2010,Embrague,18,HINO,FB4JJ,2005
1,25/01/2010,Combustible sucio,16,CHEVROLET,LV150,2003
1,26/01/2010,Motor,32,MERCEDES BENZ,OH1636,2002
1,26/01/2010,Muelle,8,AGRALE,"MA8,5TCA",2007
1,26/01/2010,Apagado,27,MERCEDES BENZ,OH1636,2006
1,26/01/2010,Fuga de combustible,11,MERCEDES BENZ,OH1636,2003
1,26/01/2010,Apagado,15,MERCEDES BENZ,OH1636,2008
1,27/01/2010,Manguera del turbo,13,MERCEDES BENZ,313CDI,2004
1,27/01/2010,Alternador,13,MERCEDES BENZ,313CDI,2003
1,27/01/2010,Bomba de agua,23,MERCEDES BENZ,OH1636,2006
1,27/01/2010,Aire acondicionado,28,CHEVROLET,LV150,2007
1,27/01/2010,Motor,27,MERCEDES BENZ,OH1636,2002
1,28/01/2010,Tapón de culata,13,MERCEDES BENZ,313CDI,2008
1,28/01/2010,Corto eléctrico,4,AGRALE,"MA8,5TCA",2006
1,28/01/2010,Compresor,11,MERCEDES BENZ,O500RS,2007
1,29/01/2010,Rodamiento rueda,8,MERCEDES BENZ,313CDI,2004
1,29/01/2010,Muelle,12,AGRALE,"MA8,5TCA",2008
1,29/01/2010,Bomba de agua,24,SCANIA,K360,2004
1,29/01/2010,Corto eléctrico,11,MERCEDES BENZ,OH1636,2005
1,29/01/2010,Balinera del burro,12,MERCEDES BENZ,OH1636,2006
1,29/01/2010,Bomba de inyección,24,MITSUBISHI,RP1118,2004
1,30/01/2010,Enfriador de aceite,2,MERCEDES BENZ,413CDI,2004
1,30/01/2010,Corto eléctrico,14,MERCEDES BENZ,OH1636,2007
1,30/01/2010,Alternador,38,VOLVO,B12R,2006
1,30/01/2010,Ventaviola rota,24,HINO,FB4JJ,2005
1,31/01/2010,Guaya freno,15,MERCEDES BENZ,413CDI,2009
1,31/01/2010,Caja de velocidades,1,CHEVROLET,LV150,2003
1,31/01/2010,Aire acondicionado,7,CHEVROLET,LV150,2008
1,31/01/2010,Caja de velocidades,8,MERCEDES BENZ,OH1636,2006
1,31/01/2010,Frenos,4,AGRALE,"MA8,5TCA",2007
1,31/01/2010,Apagado,34,CHEVROLET,LV150,2005
2,01/02/10,Correas,6,CHEVROLET,LV150,2010
2,01/02/10,Patín tensor,22,AGRALE,"MA8,5TCA",2007
2,03/02/10,Corto eléctrico,15,MERCEDES BENZ,OH1636,2005
2,03/02/10,Control cambios,10,MERCEDES BENZ,OH1636,2005
2,03/02/10,Manguera hidráulico,14,SCANIA,K360,2004
2,03/02/10,Frenos,14,MERCEDES BENZ,313CDI,2004
2,03/02/10,Bomba de inyección,9,MERCEDES BENZ,313CDI,2003
2,03/02/10,Control cambios,6,MERCEDES BENZ,413CDI,2006
2,03/02/10,Manguera del turbo,8,MERCEDES BENZ,413CDI,2008
2,04/02/10,Batería estallada,20,MERCEDES BENZ,OH1636,2005
2,04/02/10,Manguera retardador,16,MERCEDES BENZ,O500RS,2006
2,05/02/10,Muelle,15,MERCEDES BENZ,413CDI,2006
2,05/02/10,Turbo,13,MERCEDES BENZ,OH1636,2005
2,06/02/10,Control cambios,11,SCANIA,K124LL,2007
2,06/02/10,Control cambios,15,CHEVROLET,LV150,2003
2,06/02/10,Control cambios,15,SCANIA,K360,2004
2,06/02/10,Motor,15,AGRALE,"MA8,5TCA",2007
2,07/02/10,Compresor,11,VOLVO,B12R,2006
2,07/02/10,Temperatura,11,MERCEDES BENZ,313CDI,2003
2,07/02/10,Caja de velocidades,15,MERCEDES BENZ,OH1636,2002
2,07/02/10,Polea,32,MERCEDES BENZ,OH1636,2008
2,08/02/10,Fuerza,3,MERCEDES BENZ,313CDI,2004
2,08/02/10,Embrague,17,MERCEDES BENZ,413CDI,2004
2,08/02/10,Muelle,12,CHEVROLET,LV150,2010
2,09/02/10,Motor,7,MERCEDES BENZ,413CDI,2004
2,09/02/10,Apagado,9,MERCEDES BENZ,OH1636,2004
2,09/02/10,Comfort shift,21,SCANIA,K360,2005
2,10/02/10,Reencauche suelto,14,CHEVROLET,LV150,2008
2,10/02/10,Aire en sistema,8,MERCEDES BENZ,313CDI,2002
2,10/02/10,Apagado,13,MERCEDES BENZ,OH1636,2005
2,11/02/10,Fuga de combustible,21,HINO,FB4JJ,2005
2,12/02/10,Caja de velocidades,13,CHEVROLET,LV150,2004
2,12/02/10,Compresor,19,CHEVROLET,LV150,2005
2,13/02/2010,Caja de velocidades,33,MERCEDES BENZ,OH1636,2002
2,13/02/2010,Alternador,7,NISSAN,CABSTAR,2006
2,13/02/2010,Muelle,11,HINO,FB4JJ,2006
